Row,Column,Well,Plate,Sample,Measurement,Value,Mean,Std
C,8,C08,11939,1S-O_CAA,Meas A,399.0,327.0000,113.4225
C,9,C09,11939,2S-O_CAA,Meas A,311.0,303.2500,121.7823
C,10,C10,11939,3S-O_CAA,Meas A,374.0,321.7500,106.3026
C,11,C11,11939,CAA,Meas A,351.0,314.5000,142.6149
D,2,D02,11939,1M-O_Glc,Meas A,397.0,337.5000,160.4005
D,3,D03,11939,2M-O_Glc,Meas A,323.0,297.5000,134.6365
D,4,D04,11939,3M-O_Glc,Meas A,438.0,323.7500,144.4239
D,5,D05,11939,1P-O_Glc,Meas A,366.0,304.0000,106.1854
D,6,D06,11939,2P-O_Glc,Meas A,373.0,348.7500,128.6918
D,7,D07,11939,3P-O_Glc,Meas A,345.0,325.5000,129.6521
D,8,D08,11939,1S-O_Glc,Meas A,353.0,335.7500,130.0035
D,9,D09,11939,2S-O_Glc,Meas A,280.0,282.2500,121.1483
D,10,D10,11939,3S-O_Glc,Meas A,384.0,328.2500,132.4950
D,11,D11,11939,Glc,Meas A,353.0,314.2500,157.3391
E,2,E02,11939,1M-M_CAA,Meas A,450.0,360.7500,162.0563
E,3,E03,11939,2M-M_CAA,Meas A,327.0,325.7500,106.0515
E,4,E04,11939,3M-M_CAA,Meas A,425.0,321.0000,126.0238
E,5,E05,11939,1P-M_CAA,Meas A,319.0,310.2500,171.4592
E,6,E06,11939,2P-M_CAA,Meas A,352.0,351.7500,177.9558
E,7,E07,11939,3P-M_CAA,Meas A,444.0,337.7500,124.2481
E,8,E08,11939,1S-M_CAA,Meas A,331.0,300.5000,145.8687
E,9,E09,11939,2S-M_CAA,Meas A,424.0,325.0000,140.0238
E,10,E10,11939,3S-M_CAA,Meas A,367.0,304.2500,151.8055
F,2,F02,11939,1M-H_CAA,Meas A,302.0,315.7500,103.8986
F,3,F03,11939,2M-M_Glc,Meas A,377.0,347.7500,147.8814
F,4,F04,11939,3M-M_Glc,Meas A,368.0,327.0000,118.4370
F,5,F05,11939,1P-M_Glc,Meas A,321.0,324.0000,125.7961
